Change (0, 2) to 3
Change (3, 1) to 3
Change (4, 2) to 5
Change (1, 5) to 5
Change (5, 5) to 3
Change (8, 3) to 5
Change (7, 4) to 3
Change (2, 6) to 5
Change (4, 8) to 9
Change (6, 7) to 5
Change (5, 2) to 6
Change (5, 3) to 4
Change (0, 3) to 2
Change (7, 3) to 1
Change (3, 3) to 8
Change (3, 2) to 1
Change (3, 0) to 7
Change (3, 6) to 2
Change (4, 1) to 4
Change (2, 1) to 2
Change (4, 0) to 8
Change (4, 5) to 2
Change (4, 4) to 1
Change (3, 5) to 6
Change (7, 8) to 6
Change (8, 1) to 6
Change (1, 1) to 1
Change (6, 1) to 7
Change (1, 6) to 4
Change (1, 0) to 6
Change (1, 4) to 8
Change (2, 8) to 7
Change (0, 8) to 1
Change (1, 7) to 2
Change (5, 8) to 8
Change (2, 4) to 4
Change (6, 4) to 2
Change (6, 8) to 4
Change (8, 8) to 2
Change (6, 2) to 9
Change (8, 2) to 4
Change (2, 2) to 8
Change (7, 2) to 2
Change (8, 4) to 7
Change (0, 4) to 6
Change (6, 0) to 1
Change (6, 5) to 8
Change (8, 5) to 9
Change (7, 5) to 4
Change (0, 5) to 7
Change (0, 7) to 9
Change (7, 7) to 7
Change (5, 7) to 1
Change (5, 6) to 7
Change (7, 6) to 9
Change (8, 6) to 1
Change (8, 7) to 8
Change (0, 0) to 4
Change (2, 0) to 9
